Date,Loi,Section,Article,LignesModifiées
2021-02-28,"Version consolidée au 28 février 2021","",""code_de_l'303251ducation.md"",189
2021-02-20,"Version consolidée au 20 février 2021","",""code_de_l'303251ducation.md"",2
2021-02-13,"Version consolidée au 13 février 2021","",""code_de_l'303251ducation.md"",8
2021-02-03,"Version consolidée au 3 février 2021","",""code_de_l'303251ducation.md"",46
2021-01-31,"Version consolidée au 31 janvier 2021","",""code_de_l'303251ducation.md"",26
2021-01-28,"Version consolidée au 28 janvier 2021","",""code_de_l'303251ducation.md"",39
2021-01-01,"Version consolidée au 1er janvier 2021","",""code_de_l'303251ducation.md"",700
2020-12-31,"Version consolidée au 31 décembre 2020","",""code_de_l'303251ducation.md"",18
2020-12-27,"Version consolidée au 27 décembre 2020","",""code_de_l'303251ducation.md"",806
2020-12-24,"Version consolidée au 24 décembre 2020","",""code_de_l'303251ducation.md"",78
2020-12-20,"Version consolidée au 20 décembre 2020","",""code_de_l'303251ducation.md"",28
2020-12-09,"Version consolidée au 9 décembre 2020","",""code_de_l'303251ducation.md"",16
2020-12-07,"Version consolidée au 7 décembre 2020","",""code_de_l'303251ducation.md"",12
2020-12-06,"Version consolidée au 6 décembre 2020","",""code_de_l'303251ducation.md"",6
2020-12-04,"Version consolidée au 4 décembre 2020","",""code_de_l'303251ducation.md"",8
2020-12-02,"Version consolidée au 2 décembre 2020","",""code_de_l'303251ducation.md"",20
2020-11-30,"Version consolidée au 30 novembre 2020","",""code_de_l'303251ducation.md"",12
2020-11-07,"Version consolidée au 7 novembre 2020","",""code_de_l'303251ducation.md"",124
2020-11-06,"Version consolidée au 6 novembre 2020","",""code_de_l'303251ducation.md"",56
2020-11-01,"Version consolidée au 1er novembre 2020","",""code_de_l'303251ducation.md"",10
2020-10-23,"Version consolidée au 23 octobre 2020","",""code_de_l'303251ducation.md"",104
2020-10-22,"Version consolidée au 22 octobre 2020","",""code_de_l'303251ducation.md"",114
2020-10-19,"Version consolidée au 19 octobre 2020","",""code_de_l'303251ducation.md"",4
2020-10-16,"Version consolidée au 16 octobre 2020","",""code_de_l'303251ducation.md"",4
2020-10-02,"Version consolidée au 2 octobre 2020","",""code_de_l'303251ducation.md"",430
2020-09-28,"Version consolidée au 28 septembre 2020","",""code_de_l'303251ducation.md"",4
2020-09-26,"Version consolidée au 26 septembre 2020","",""code_de_l'303251ducation.md"",18
2020-09-25,"Version consolidée au 25 septembre 2020","",""code_de_l'303251ducation.md"",144
2020-09-24,"Version consolidée au 24 septembre 2020","",""code_de_l'303251ducation.md"",32
2020-09-14,"Version consolidée au 14 septembre 2020","",""code_de_l'303251ducation.md"",11
2020-09-01,"Version consolidée au 1er septembre 2020","",""code_de_l'303251ducation.md"",208
2020-08-16,"Version consolidée au 16 août 2020","",""code_de_l'303251ducation.md"",34
2020-08-08,"Version consolidée au 8 août 2020","",""code_de_l'303251ducation.md"",16
2020-08-07,"Version consolidée au 7 août 2020","",""code_de_l'303251ducation.md"",68
2020-08-03,"Version consolidée au 3 août 2020","",""code_de_l'303251ducation.md"",118
2020-08-02,"Version consolidée au 2 août 2020","",""code_de_l'303251ducation.md"",84
2020-08-01,"Version consolidée au 1er août 2020","",""code_de_l'303251ducation.md"",8
2020-07-31,"Version consolidée au 31 juillet 2020","",""code_de_l'303251ducation.md"",184
2020-07-05,"Version consolidée au 5 juillet 2020","",""code_de_l'303251ducation.md"",6
2020-07-03,"Version consolidée au 3 juillet 2020","",""code_de_l'303251ducation.md"",120
2020-07-01,"Version consolidée au 1er juillet 2020","",""code_de_l'303251ducation.md"",14
2020-06-28,"Version consolidée au 28 juin 2020","",""code_de_l'303251ducation.md"",612
2020-06-26,"Version consolidée au 26 juin 2020","",""code_de_l'303251ducation.md"",16
2020-06-23,"Version consolidée au 23 juin 2020","",""code_de_l'303251ducation.md"",2
2020-06-19,"Version consolidée au 19 juin 2020","",""code_de_l'303251ducation.md"",18
2020-06-18,"Version consolidée au 18 juin 2020","",""code_de_l'303251ducation.md"",22
2020-06-17,"Version consolidée au 17 juin 2020","",""code_de_l'303251ducation.md"",328
2020-05-25,"Version consolidée au 25 mai 2020","",""code_de_l'303251ducation.md"",36
2020-05-18,"Version consolidée au 18 mai 2020","",""code_de_l'303251ducation.md"",244
2020-04-06,"Version consolidée au 6 avril 2020","",""code_de_l'303251ducation.md"",6
2020-04-01,"Version consolidée au 1er avril 2020","",""code_de_l'303251ducation.md"",2
2020-03-20,"Version consolidée au 20 mars 2020","",""code_de_l'303251ducation.md"",270
2020-03-01,"Version consolidée au 1er mars 2020","",""code_de_l'303251ducation.md"",175
2020-02-12,"Version consolidée au 12 février 2020","",""code_de_l'303251ducation.md"",10
2020-01-30,"Version consolidée au 30 janvier 2020","",""code_de_l'303251ducation.md"",22
2020-01-01,"Version consolidée au 1er janvier 2020","",""code_de_l'303251ducation.md"",1976
2019-12-31,"Version consolidée au 31 décembre 2019","",""code_de_l'303251ducation.md"",4
2019-12-29,"Version consolidée au 29 décembre 2019","",""code_de_l'303251ducation.md"",4
2019-12-28,"Version consolidée au 28 décembre 2019","",""code_de_l'303251ducation.md"",8
2019-12-27,"Version consolidée au 27 décembre 2019","",""code_de_l'303251ducation.md"",12
2019-12-21,"Version consolidée au 21 décembre 2019","",""code_de_l'303251ducation.md"",162
2019-12-20,"Version consolidée au 20 décembre 2019","",""code_de_l'303251ducation.md"",4
2019-12-13,"Version consolidée au 13 décembre 2019","",""code_de_l'303251ducation.md"",10
2019-12-12,"Version consolidée au 12 décembre 2019","",""code_de_l'303251ducation.md"",142
2019-11-29,"Version consolidée au 29 novembre 2019","",""code_de_l'303251ducation.md"",32
2019-11-22,"Version consolidée au 22 novembre 2019","",""code_de_l'303251ducation.md"",8
2019-11-21,"Version consolidée au 21 novembre 2019","",""code_de_l'303251ducation.md"",18
2019-11-09,"Version consolidée au 9 novembre 2019","",""code_de_l'303251ducation.md"",22
2019-11-07,"Version consolidée au 7 novembre 2019","",""code_de_l'303251ducation.md"",6
2019-11-06,"Version consolidée au 6 novembre 2019","",""code_de_l'303251ducation.md"",316
2019-11-04,"Version consolidée au 4 novembre 2019","",""code_de_l'303251ducation.md"",76
2019-11-01,"Version consolidée au 1er novembre 2019","",""code_de_l'303251ducation.md"",14
2019-10-28,"Version consolidée au 28 octobre 2019","",""code_de_l'303251ducation.md"",150
2019-10-24,"Version consolidée au 24 octobre 2019","",""code_de_l'303251ducation.md"",6
2019-10-19,"Version consolidée au 19 octobre 2019","",""code_de_l'303251ducation.md"",39
2019-10-07,"Version consolidée au 7 octobre 2019","",""code_de_l'303251ducation.md"",192
2019-10-02,"Version consolidée au 2 octobre 2019","",""code_de_l'303251ducation.md"",58
2019-09-19,"Version consolidée au 19 septembre 2019","",""code_de_l'303251ducation.md"",22
2019-09-11,"Version consolidée au 11 septembre 2019","",""code_de_l'303251ducation.md"",16
2019-09-07,"Version consolidée au 7 septembre 2019","",""code_de_l'303251ducation.md"",6
2019-09-02,"Version consolidée au 2 septembre 2019","",""code_de_l'303251ducation.md"",1039
2019-09-01,"Version consolidée au 1er septembre 2019","",""code_de_l'303251ducation.md"",401
2019-08-26,"Version consolidée au 26 août 2019","",""code_de_l'303251ducation.md"",77
2019-08-23,"Version consolidée au 23 août 2019","",""code_de_l'303251ducation.md"",12
2019-08-21,"Version consolidée au 21 août 2019","",""code_de_l'303251ducation.md"",14
2019-08-14,"Version consolidée au 14 août 2019","",""code_de_l'303251ducation.md"",2
2019-08-08,"Version consolidée au 8 août 2019","",""code_de_l'303251ducation.md"",81
2019-08-05,"Version consolidée au 5 août 2019","",""code_de_l'303251ducation.md"",8
