code,version,date,partie,sous_partie,livre,titre,chapitre,article,type
code_civil,00f14be,1803-04-29,Législative,NA,8,1,9,819,inversion 842
code_civil,d48a9bd,1803-05-13,Législative,NA,9,0,5,905,inversion 1095
code_civil,f7a5147,1804-02-17,Législative,1,3,1,6,1316,inversion 1369
code_civil,74471bb,1804-02-24,Législative,2,0,2,4,2024,inversion 2027
code_civil,d86cb5f,1804-03-17,Législative,1,4,9,2,1492,inversion 1523
code_civil,63bf723,1804-03-26,Législative,2,0,6,2,2062,inversion 2070
code_civil,8edc69c,1804-03-29,Législative,NA,6,6,4,664,inversion 665
code_civil,a22e7b9,1938-02-18,Législative,NA,9,1,0,910,inversion 1095
code_civil,981fe53,1955-01-07,Législative,2,1,0,7,2107,inversion 2113
code_civil,ebc294e,1959-01-08,Législative,NA,9,3,7,937,inversion 942
code_civil,684179a,1965-06-15,Législative,NA,4,0,2,402,inversion 448
code_civil,eb95e99,1966-02-01,Législative,NA,8,1,8,818,inversion 820
code_civil,eb95e99,1966-02-01,Législative,1,4,0,2,1402,inversion 1420
code_civil,eb95e99,1966-02-01,Législative,1,4,2,8,1428,inversion 1439
code_civil,eb95e99,1966-02-01,Législative,1,4,4,2,1442,inversion 1480
code_civil,eb95e99,1966-02-01,Législative,1,5,1,8,1518,inversion 1519
code_civil,eb95e99,1966-02-01,Législative,2,1,3,6,2136,inversion 2142
code_civil,0c0ab25,1968-11-28,Législative,2,1,0,4,2104,inversion 2105
code_civil,da6e2ae,1972-08-01,Législative,NA,3,1,1,311-16,inversion 311-18
code_civil,da6e2ae,1972-08-01,Législative,NA,3,1,3,313-1,inversion 315
code_civil,da6e2ae,1972-08-01,Législative,NA,3,1,7,317,inversion 318
code_civil,da6e2ae,1972-08-01,Législative,NA,3,1,6,316,inversion 318-2
code_civil,da6e2ae,1972-08-01,Législative,NA,3,2,2,322-1,inversion 324
code_civil,da6e2ae,1972-08-01,Législative,NA,3,2,9,329,inversion 330
code_civil,da6e2ae,1972-08-01,Législative,NA,3,3,6,336,inversion 338
code_civil,da6e2ae,1972-08-01,Législative,NA,3,3,5,335,inversion 336
code_civil,da6e2ae,1972-08-01,Législative,NA,3,3,7,337,inversion 339
code_civil,da6e2ae,1972-08-01,Législative,NA,3,4,2,342-4,inversion 342-7
code_civil,da6e2ae,1972-08-01,Législative,NA,3,4,2,342-5,inversion 342-8
code_civil,da6e2ae,1972-08-01,Législative,NA,9,1,5,915,inversion 919
