num,etat,debut,fin,id
L111-1,MODIFIE,2005-04-24,2006-04-02,LEGIARTI000006524365
L111-1,MODIFIE,2000-06-22,2005-02-12,LEGIARTI000006524363
L111-1,MODIFIE,2005-02-12,2005-04-24,LEGIARTI000006524364
L111-1,MODIFIE,2006-04-02,2013-07-10,LEGIARTI000006524366
L111-1,MODIFIE,2013-07-10,2019-07-29,LEGIARTI000027682584
L111-1,MODIFIE,2019-07-29,2019-09-02,LEGIARTI000038901827
L111-1,MODIFIE,2019-09-02,2021-08-26,LEGIARTI000038904597
L111-1,VIGUEUR,2021-08-26,2999-01-01,LEGIARTI000043982767
L111-1-1,MODIFIE,2013-07-10,2021-08-26,LEGIARTI000027679559
L111-1-1,VIGUEUR,2021-08-26,2999-01-01,LEGIARTI000043982730
L111-1-2,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038847723
L111-1-3,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038847746
L111-2,MODIFIE,2005-02-12,2013-07-10,LEGIARTI000006524368
L111-2,MODIFIE,2013-07-10,2019-07-29,LEGIARTI000027682589
L111-2,MODIFIE,2019-07-29,2021-08-25,LEGIARTI000038901837
L111-2,VIGUEUR,2021-08-25,2999-01-01,LEGIARTI000043974677
L111-2,MODIFIE,2000-06-22,2005-02-12,LEGIARTI000006524367
L111-3,MODIFIE,2000-06-22,2005-04-24,LEGIARTI000006524369
L111-3,MODIFIE,2005-04-24,2013-07-10,LEGIARTI000006524370
L111-3,MODIFIE,2013-07-10,2019-09-02,LEGIARTI000027682593
L111-3,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038902126
L111-3-1,VIGUEUR,2019-07-29,2999-01-01,LEGIARTI000038847685
L111-4,MODIFIE,2000-06-22,2019-09-02,LEGIARTI000006524371
L111-4,VIGUEUR,2019-09-02,2999-01-01,LEGIARTI000038901844
L111-5,MODIFIE,2000-06-22,2013-07-24,LEGIARTI000006524372
L111-5,VIGUEUR,2013-07-24,2999-01-01,LEGIARTI000027747707
L111-6,VIGUEUR,2022-03-04,2999-01-01,LEGIARTI000045289043
