"lien_naturetexte";"président";"Nombre";"Donnée"
"LOI";"Sarkozy";11;"Mesurée"
"DECRET";"Sarkozy";46;"Mesurée"
"ORDONNANCE";"Sarkozy";5;"Mesurée"
"DECRET";"Hollande";269;"Mesurée"
"LOI";"Hollande";81;"Mesurée"
"ORDONNANCE";"Hollande";14;"Mesurée"
"DECRET";"Macron";380;"Mesurée"
"LOI";"Macron";112;"Mesurée"
"ORDONNANCE";"Macron";17;"Mesurée"
"DECRET";"Macron 2";222;"Mesurée"
"ORDONNANCE";"Macron 2";1;"Mesurée"
"LOI";"Macron 2";19;"Mesurée"
"DECRET";"Macron 2";496,507352941176;"Projection"
"ORDONNANCE";"Macron 2";2,23651960784314;"Projection"
"LOI";"Macron 2";42,4938725490196;"Projection"
