"lien_numtexte";"lien_naturetexte";"lien_datesignatexte";"n_modifs";"président"
"2007-1199";"LOI";"2007-08-10";1;"Sarkozy"
"2007-1722";"DECRET";"2007-12-06";7;"Sarkozy"
"2007-1786";"LOI";"2007-12-19";1;"Sarkozy"
"2008-751";"DECRET";"2008-07-29";1;"Sarkozy"
"2008-1304";"ORDONNANCE";"2008-12-11";9;"Sarkozy"
"2008-1400";"DECRET";"2008-12-19";3;"Sarkozy"
"2009-148";"DECRET";"2009-02-10";4;"Sarkozy"
"2009-145";"DECRET";"2009-02-10";5;"Sarkozy"
"2009-526";"LOI";"2009-05-12";1;"Sarkozy"
"2009-553";"DECRET";"2009-05-15";2;"Sarkozy"
"2009-765";"DECRET";"2009-06-23";1;"Sarkozy"
"2009-879";"LOI";"2009-07-21";2;"Sarkozy"
"2009-920";"DECRET";"2009-07-28";1;"Sarkozy"
"2009-1145";"DECRET";"2009-09-22";3;"Sarkozy"
"2010-59";"DECRET";"2010-01-18";1;"Sarkozy"
"2010-100";"DECRET";"2010-01-27";5;"Sarkozy"
"2010-99";"DECRET";"2010-01-27";2;"Sarkozy"
"2010-121";"LOI";"2010-02-08";1;"Sarkozy"
"2010-130";"DECRET";"2010-02-11";8;"Sarkozy"
"2010-177";"ORDONNANCE";"2010-02-23";3;"Sarkozy"
"2010-429";"DECRET";"2010-04-29";4;"Sarkozy"
"2010-571";"DECRET";"2010-05-28";1;"Sarkozy"
"2010-592";"DECRET";"2010-06-02";1;"Sarkozy"
"2010-638";"ORDONNANCE";"2010-06-10";2;"Sarkozy"
"2010-784";"DECRET";"2010-07-08";1;"Sarkozy"
"2010-788";"LOI";"2010-07-12";1;"Sarkozy"
"2010-853";"LOI";"2010-07-23";2;"Sarkozy"
"2010-1356";"DECRET";"2010-11-11";2;"Sarkozy"
"2010-1463";"DECRET";"2010-12-01";1;"Sarkozy"
"2011-184";"DECRET";"2011-02-15";4;"Sarkozy"
"2011-191";"DECRET";"2011-02-17";1;"Sarkozy"
"2011-525";"LOI";"2011-05-17";2;"Sarkozy"
"2011-620";"DECRET";"2011-05-31";3;"Sarkozy"
"2011-728";"DECRET";"2011-06-24";2;"Sarkozy"
"2011-1316";"DECRET";"2011-10-17";1;"Sarkozy"
"2011-1503";"DECRET";"2011-11-14";2;"Sarkozy"
"2012-16";"DECRET";"2012-01-05";38;"Sarkozy"
"2012-124";"DECRET";"2012-01-30";1;"Sarkozy"
"2012-197";"DECRET";"2012-02-08";1;"Sarkozy"
"2012-347";"LOI";"2012-03-12";1;"Sarkozy"
"2012-391";"DECRET";"2012-03-21";1;"Sarkozy"
"2012-1193";"DECRET";"2012-10-26";3;"Hollande"
"2012-1247";"DECRET";"2012-11-07";8;"Hollande"
"2012-1351";"DECRET";"2012-12-04";5;"Hollande"
"2013-77";"DECRET";"2013-01-24";3;"Hollande"
"2013-145";"DECRET";"2013-02-18";1;"Hollande"
"2013-403";"LOI";"2013-05-17";6;"Hollande"
"2013-420";"DECRET";"2013-05-23";2;"Hollande"
"2013-469";"DECRET";"2013-06-05";2;"Hollande"
"2013-595";"LOI";"2013-07-08";24;"Hollande"
"2013-660";"LOI";"2013-07-22";30;"Hollande"
"2013-682";"DECRET";"2013-07-24";2;"Hollande"
"2013-748";"DECRET";"2013-08-14";2;"Hollande"
"2013-756";"DECRET";"2013-08-19";6;"Hollande"
"2013-767";"DECRET";"2013-08-23";11;"Hollande"
"2013-783";"DECRET";"2013-08-28";4;"Hollande"
"2013-852";"DECRET";"2013-09-24";5;"Hollande"
"2013-938";"DECRET";"2013-10-18";15;"Hollande"
"2013-1231";"DECRET";"2013-12-23";6;"Hollande"
"2013-1310";"DECRET";"2013-12-27";6;"Hollande"
"2014-58";"LOI";"2014-01-27";1;"Hollande"
"2014-288";"LOI";"2014-03-05";4;"Hollande"
"2014-336";"DECRET";"2014-03-13";3;"Hollande"
"2014-551";"DECRET";"2014-05-27";9;"Hollande"
"2014-604";"DECRET";"2014-06-06";5;"Hollande"
"2014-671";"DECRET";"2014-06-24";1;"Hollande"
"2014-691";"ORDONNANCE";"2014-06-26";10;"Hollande"
"2014-788";"LOI";"2014-07-10";1;"Hollande"
"2014-800";"DECRET";"2014-07-15";1;"Hollande"
"2014-807";"ORDONNANCE";"2014-07-17";3;"Hollande"
"2014-856";"LOI";"2014-07-31";1;"Hollande"
"2014-1073";"DECRET";"2014-09-22";1;"Hollande"
"2014-1170";"LOI";"2014-10-13";4;"Hollande"
"2014-1176";"DECRET";"2014-10-14";2;"Hollande"
"2014-1231";"DECRET";"2014-10-22";7;"Hollande"
"2014-1236";"DECRET";"2014-10-24";6;"Hollande"
"2014-1237";"DECRET";"2014-10-24";1;"Hollande"
"2014-1376";"DECRET";"2014-11-18";3;"Hollande"
"2014-1377";"DECRET";"2014-11-18";35;"Hollande"
"2014-1421";"DECRET";"2014-11-28";21;"Hollande"
"2014-1485";"DECRET";"2014-12-11";5;"Hollande"
"2014-1484";"DECRET";"2014-12-11";1;"Hollande"
"2014-1543";"ORDONNANCE";"2014-12-19";1;"Hollande"
"2014-1545";"LOI";"2014-12-20";2;"Hollande"
"2014-1631";"DECRET";"2014-12-26";9;"Hollande"
"2015-79";"DECRET";"2015-01-28";6;"Hollande"
"2015-177";"LOI";"2015-02-16";2;"Hollande"
"2015-372";"DECRET";"2015-03-31";3;"Hollande"
"2015-396";"DECRET";"2015-04-07";1;"Hollande"
"2015-443";"DECRET";"2015-04-17";1;"Hollande"
"2015-544";"DECRET";"2015-05-19";1;"Hollande"
"2015-652";"DECRET";"2015-06-10";21;"Hollande"
"2015-668";"DECRET";"2015-06-15";3;"Hollande"
"2015-723";"DECRET";"2015-06-24";2;"Hollande"
"2015-750";"DECRET";"2015-06-24";1;"Hollande"
"2015-737";"LOI";"2015-06-25";1;"Hollande"
"2015-846";"DECRET";"2015-07-09";1;"Hollande"
"2015-856";"DECRET";"2015-07-13";12;"Hollande"
"2015-963";"DECRET";"2015-07-31";4;"Hollande"
"2015-991";"LOI";"2015-08-07";3;"Hollande"
"2015-1051";"DECRET";"2015-08-25";1;"Hollande"
"2015-1066";"DECRET";"2015-08-26";1;"Hollande"
"2015-1168";"DECRET";"2015-09-21";1;"Hollande"
"2015-1351";"DECRET";"2015-10-26";4;"Hollande"
"2015-1783";"DECRET";"2015-12-28";1;"Hollande"
"2015-1929";"DECRET";"2015-12-31";17;"Hollande"
"2016-41";"LOI";"2016-01-26";3;"Hollande"
"2016-328";"DECRET";"2016-03-16";16;"Hollande"
"2016-457";"LOI";"2016-04-14";1;"Hollande"
"2016-483";"LOI";"2016-04-20";1;"Hollande"
"2016-657";"DECRET";"2016-05-20";1;"Hollande"
"2016-675";"DECRET";"2016-05-25";4;"Hollande"
"2016-771";"DECRET";"2016-06-10";2;"Hollande"
"2016-839";"DECRET";"2016-06-24";1;"Hollande"
"2016-925";"LOI";"2016-07-07";4;"Hollande"
"2016-954";"DECRET";"2016-07-11";5;"Hollande"
"2016-1020";"DECRET";"2016-07-26";2;"Hollande"
"2016-1021";"DECRET";"2016-07-26";1;"Hollande"
"2016-1037";"DECRET";"2016-07-28";3;"Hollande"
"2016-1042";"DECRET";"2016-07-29";16;"Hollande"
"2016-1063";"DECRET";"2016-08-03";2;"Hollande"
"2016-1088";"LOI";"2016-08-08";1;"Hollande"
"2016-1136";"DECRET";"2016-08-19";1;"Hollande"
"2016-1228";"DECRET";"2016-09-16";8;"Hollande"
"2016-1229";"DECRET";"2016-09-16";5;"Hollande"
"2016-1278";"DECRET";"2016-09-29";1;"Hollande"
"2016-1354";"DECRET";"2016-10-11";2;"Hollande"
"2016-1413";"DECRET";"2016-10-20";1;"Hollande"
"2016-1527";"DECRET";"2016-11-14";1;"Hollande"
"2016-1550";"DECRET";"2016-11-17";1;"Hollande"
"2016-1597";"DECRET";"2016-11-25";40;"Hollande"
"2016-1809";"ORDONNANCE";"2016-12-22";1;"Hollande"
